"mat1","cod1","mat2","cod2","nom_periodo","cantidad"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMUNICACIONES DIGITALES","1462","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMUNICACIONES DIGITALES","1462","202101","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMUNICACIONES DIGITALES","1462","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMUNICACIONES DIGITALES","1462","202301","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CONTAMINANTES EMERGENTES: PROBLEMAS, SOLUCIONES Y DESARROLLOS FUTUROS","PA511","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COSTOS","2240","202001","11"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COSTOS","2240","202101","17"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COSTOS","2240","202201","10"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COSTOS","2240","202301","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COSTOS","2240","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CRIPTOGRAFIA","1545","202001","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CRIPTOGRAFIA","1545","202101","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CRIPTOGRAFIA","1545","202201","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS","1353","202101","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS","1353","202201","6"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS","1353","202301","4"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS","1353","202401","8"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DINAMICA Y CONTROL DE PROCESOS","Q94","202001","6"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DINAMICA Y CONTROL DE PROCESOS","Q94","202101","7"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DINAMICA Y CONTROL DE PROCESOS","Q94","202201","4"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DINAMICA Y CONTROL DE PROCESOS","Q94","202301","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO DE PROCESOS QUIMICOS","Q196","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO DE PROCESOS QUIMICOS","Q197","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO HIDROLOGICO","2399","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO HIDROLOGICO","2399","202101","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO HIDROLOGICO","2399","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO LOGICO 2","1534","202101","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO LOGICO 2","1534","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO LOGICO 2","1534","202301","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","DISEÑO LOGICO 2","1534","202401","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","EJERCICIOS DE INGENIERIA SANITARIA","2309","202001","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","EJERCICIOS DE INGENIERIA SANITARIA","2309","202101","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","EJERCICIOS DE INGENIERIA SANITARIA","2309","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","EJERCICIOS DE INGENIERIA SANITARIA","2309","202301","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELASTICIDAD","2366","202001","16"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELASTICIDAD","2366","202101","26"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELASTICIDAD","2366","202201","29"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELASTICIDAD","2366","202301","8"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELASTICIDAD","2366","202401","20"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA AVANZADA 2","5717","202001","6"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA AVANZADA 2","5717","202201","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA AVANZADA 2","5717","202301","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA AVANZADA 2","5717","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA DE POTENCIA","5609","202001","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA DE POTENCIA","5609","202101","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA DE POTENCIA","5609","202301","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ELECTRONICA DE POTENCIA","5609","202401","2"
