uc_1,uc_2,coincidencia
1123,5511,1.0
1123,5520,1.0
1123,5602,1.0
1123,5824,1.25
1123,5852,1.0
1123,5905,1.0
1123,Q59,10.0
1123,Q59B,11.0
1123,TIM10,1.0
1123,TIM12,1.0
1123,TIM13,1.0
1123,TIM14,1.0
1123,TIM40,1.0
1123,TIM51,1.0
1123,TIM62,1.0
1128,1023,5.25
1128,1025,4.5
1128,1033,23.75
1128,1064,49.75
1128,1122,8.0
1128,1123,6.25
1128,1144,2.3333333333333335
1128,1152,1.5
1128,1153,1.0
1128,1155,49.0
1128,1220,2.0
1128,1226,1.0
1128,1266,1.0
1128,1269,1.0
1128,1321,2.0
1128,1322,10.5
1128,1323,3.6666666666666665
1128,1373,8.0
1128,1456,68.5
1128,1460,5.75
1128,1538,2.0
1128,1638,1.0
1128,1715,1.0
1128,1719,2.0
1128,1729,1.0
1128,1815,1.0
1128,1815B,1.5
1128,1823,1.0
1128,1868,2.0
1128,1869,2.0
1128,1911,2.0
1128,2001,2.0
1128,2002,1.0
1128,2011,1.6666666666666667
1128,2018,1.0
1128,2021,1.0
1128,2060,2.5
1128,2109,3.6666666666666665
1128,2206,1.0
1128,2216,1.0
1128,2217,1.0
1128,2218,1.0
1128,2256,1.0
1128,2315,1.0
1128,2368,1.0
1128,2450,1.0
1128,2511,1.0
1128,2907,1.0
1128,5507,1.0
1128,5520,1.0
1128,5602,1.0
1128,5716,1.0
1128,5824,12.0
1128,5847,1.0
1128,5852,2.75
1128,5857,2.0
1128,5862,1.0
1128,5905,3.3333333333333335
1128,PA350,1.0
1128,Q59,1.0
1129,1323,1.0
1129,1456,1.0
1129,1460,1.0
1129,1638,1.0
1129,2013,1.0
1129,5905,1.0
1139,2002,1.0
1139,2200,1.0
1140,1729,4.0
1140,1823,2.0
1140,2002,1.0
1140,2030,2.0
1140,2200,3.0
1151,1023,55.75
1151,1025,22.75
1151,1026,21.5
1151,1030,360.0
1151,1031,165.5
1151,1033,14.5
1151,1064,5.75
1151,1123,1.0
1151,1216,1.5
1151,1220,63.0
1151,1225,5.0
1151,1266,64.5
1151,1269,14.0
1151,1321,13.5
1151,1322,141.5
1151,1323,12.25
1151,1327,3.75
1151,1340,2.0
1151,1373,148.0
1151,1437,2.0
1151,1446,2.0
1151,1509,1.0
1151,1521,1.25
1151,1526,1.0
1151,1537,3.0
1151,1543,4.5
1151,1624,1.0
1151,1715,1.5
1151,1721,3.0
1151,1730,1.5
1151,1731,2.0
1151,1751,1.0
1151,1770,1.0
1151,1773,3.0
1151,1777,3.0
1151,1779,1.75
1151,1828,1.3333333333333333
1151,1858,1.0
1151,1911,2.75
1151,1926,1.0
1151,1933,3.0
1151,1938,2.25
1151,1941,1.0
1151,1945,2.6666666666666665
1151,1948,2.0
1151,1951,1.5
1151,1952,1.0
1151,2030,1.0
1151,2033,1.0
1151,2040,3.0
1151,2216,1.0
1151,2217,1.0
1151,2247,1.0
1151,2388,1.0
1151,2416,18.666666666666668
1151,5824,1.0
1151,5857,2.0
1151,5904,7.25
1151,GAL1P,22.0
1151,MI2,47.25
1151,PA566,1.0
1151,Q102,33.5
1151,Q49,12.5
1151,TCI28,1.5
1151,TI08,1.0
1151,TI20,1.0
1151,TIM51,1.0
1152,1023,5.25
1152,1025,30.25
1152,1026,1.5
1152,1030,17.75
1152,1031,175.5
1152,1033,3.0
1152,1064,26.25
1152,1122,2.0
1152,1123,2.0
1152,1144,1.0
1152,1153,63.5
1152,1155,1.0
1152,1209,1.0
1152,1220,32.0
1152,1266,27.5
1152,1268,1.0
1152,1269,10.0
1152,1312,1.0
1152,1321,2.0
1152,1322,80.5
1152,1323,1.3333333333333333
1152,1350,1.0
1152,1373,72.5
1152,1422,1.5
1152,1456,1.0
1152,1459,1.0
1152,1460,1.0
1152,1509,1.0
1152,1521,1.3333333333333333
1152,1526,2.0
1152,1617,1.0
1152,1633,1.0
1152,1715,1.0
1152,1751,1.0
1152,1779,1.0
1152,1858,1.5
1152,1927,1.0
1152,1945,1.0
1152,1946,1.0
1152,1951,2.0
1152,2001,1.0
1152,2018,2.0
1152,2030,1.0
1152,2033,2.25
1152,2035,2.0
1152,2037,1.0
1152,2038,2.0
1152,2040,1.0
1152,2098,1.0
1152,2110,2.0
1152,2112,1.0
1152,2206,1.0
1152,2211,1.0
1152,2216,1.0
1152,2217,1.0
1152,2242,1.0
1152,2247,2.0
1152,2315,1.0
1152,2352,1.0
1152,2368,1.0
1152,2379,1.0
1152,2388,1.0
1152,2395,1.0
1152,2398,1.0
1152,2407,1.0
1152,2413,1.0
1152,2416,27.333333333333332
1152,2450,1.0
1152,2508,1.0
1152,5507,1.0
1152,5824,1.0
1152,5904,1.0
1152,GAL1P,2.0
1152,LIB10,1.0
1152,Q102,22.0
1152,Q49,2.0
1152,Q59,9.5
1152,Q59B,10.0
1152,Q66,1.0
1152,TCI25,2.0
1152,TCI27,1.0
1152,TCI28,2.0
1152,TIM10,1.0
1152,TIM11,1.0
1152,TIM14,1.0
1152,TIM21,1.0
1152,TIM43,1.0
1152,TIM44,1.0
1152,TIM45,1.0
1152,TIM50,1.0
1152,TIM51,1.0
1152,TIM58,1.0
1152,TIM75,1.0
1152,TIM80,1.0
1152,TIM81,1.0
1153,1023,5.5
1153,1025,55.0
1153,1026,2.0
1153,1030,3.75
1153,1031,38.75
1153,1033,15.5
1153,1064,70.5
1153,1122,29.0
1153,1123,39.5
1153,1155,1.0
1153,1201,1.0
1153,1220,10.0
1153,1225,1.0
1153,1236,1.0
1153,1266,12.0
1153,1267,1.0
1153,1268,1.0
1153,1269,10.0
1153,1312,2.3333333333333335
1153,1321,3.0
1153,1322,23.0
1153,1323,2.3333333333333335
1153,1340,1.0
1153,1373,22.0
1153,1422,2.0
1153,1446,1.0
1153,1456,1.0
1153,1509,1.3333333333333333
1153,1521,2.3333333333333335
1153,1524,1.0
1153,1526,2.0
1153,1537,1.0
1153,1633,1.0
1153,1715,3.6666666666666665
1153,1715B,1.0
1153,1719,1.0
1153,1721,1.0
1153,1730,1.0
1153,1779,2.0
1153,1823,2.0
1153,1833,1.6666666666666667
1153,1855,1.0
1153,1858,1.6666666666666667
1153,1868,2.0
1153,1927,2.0
1153,1938,1.0
1153,1945,2.75
1153,1946,1.6666666666666667
1153,1951,2.0
1153,2001,2.0
1153,2011,1.0
1153,2030,1.0
1153,2033,13.75
1153,2035,1.6666666666666667
1153,2037,3.25
1153,2038,2.25
1153,2098,1.0
1153,2110,1.0
1153,2112,1.0
1153,2206,2.75
1153,2211,2.0
1153,2217,1.0
1153,2246,2.0
1153,2247,2.0
1153,2258,1.0
1153,2315,3.0
1153,2321,1.0
1153,2352,3.0
1153,2356,1.3333333333333333
1153,2368,8.0
1153,2375,1.0
1153,2380,2.0
1153,2388,1.0
1153,2391,1.0
1153,2395,2.3333333333333335
1153,2396,1.0
1153,2407,1.5
1153,2413,1.0
1153,2416,6.333333333333333
1153,2450,1.0
1153,2510,2.0
1153,2511,1.0
1153,2603,1.0
1153,5824,2.6666666666666665
1153,5857,3.0
1153,5862,2.0
1153,5904,1.0
1153,Q102,8.5
1153,Q49,2.5
1153,Q59,22.5
1153,Q59B,23.5
1153,Q73,3.0
1153,Q77C,1.6666666666666667
1153,TCI25,1.0
1153,TCI28,1.5
1153,TIM11,1.0
1153,TIM13,1.0
1153,TIM14,1.0
1153,TIM21,1.0
1153,TIM50,2.0
1155,1023,3.75
1155,1025,6.75
1155,1026,1.0
1155,1031,2.0
1155,1033,15.5
1155,1064,69.5
1155,1122,25.0
1155,1123,31.75
1155,1144,4.5
1155,1220,4.0
1155,1226,2.25
1155,1266,1.0
1155,1269,1.0
1155,1312,1.3333333333333333
1155,1321,1.0
1155,1322,9.5
1155,1323,3.0
1155,1373,7.0
1155,1456,51.75
1155,1459,3.5
1155,1460,3.25
1155,1638,3.5
1155,1715,2.0
1155,1719,7.75
1155,1727,1.0
1155,1779,1.0
1155,1815,1.0
1155,1815B,2.0
1155,1823,6.0
1155,1833,2.0
1155,1859,1.3333333333333333
1155,1868,1.0
1155,1911,1.0
1155,1927,1.5
1155,1945,4.0
1155,2001,16.5
1155,2002,1.5
1155,2011,1.0
1155,2018,1.0
1155,2021,1.0
1155,2030,1.0
1155,2032,1.0
1155,2033,2.0
1155,2035,3.0
1155,2037,2.0
1155,2200,2.0
1155,2206,3.0
1155,2210,2.0
1155,2211,1.0
1155,2216,1.0
1155,2217,1.0
1155,2218,3.0
1155,2242,3.0
1155,2246,1.0
1155,2315,2.3333333333333335
1155,2321,1.0
1155,2352,1.6666666666666667
1155,2356,1.0
1155,2368,3.5
1155,2395,1.0
1155,2396,1.0
1155,2450,2.5
1155,2506,1.0
1155,2507,1.0
1155,2508,1.0
1155,2510,2.0
1155,2511,4.0
1155,2603,1.0
1155,2804,1.0
1155,2805,1.0
1155,5507,2.6666666666666665
1155,5602,1.0
1155,5824,6.5
1155,5852,2.5
1155,5905,3.0
1155,Q59,1.0
1155,Q59B,1.0
1201,1025,1.0
1201,1266,2.0
1201,1267,2.0
1201,1945,1.0
1201,1946,1.5
1201,2246,2.0
1201,2352,1.0
1201,2359,1.0
1201,2450,1.0
1201,2511,2.0
1201,2803,1.0
1201,2804,5.0
1208,1209,1.0
1208,5828,1.0
1209,1322,2.0
1209,1460,1.0
1209,5828,1.0
1209,5905,1.0
1214,1216,1.0
1214,2216,1.0
1214,A88,1.0
1214,Q100,7.666666666666667
1214,Q57,3.6666666666666665
1214,Q73,8.333333333333334
1214,Q74,4.666666666666667
1214,Q82,2.0
1216,1633,1.5
1216,1927,2.0
1216,1951,2.0
1216,2038,1.0
1219,1224,1.0
1219,A65,1.0
1219,Q66,3.0
1219,Q70,1.0
1219,Q73,1.0
1219,Q74,2.0
1219,Q77C,2.0
1220,1144,4.0
1220,1216,2.0
1220,1521,1.0
1220,1526,2.0
1220,1633,1.5
1220,1729,1.0
1220,1823,2.0
1220,1927,2.5
1220,2038,1.0
1220,2216,1.0
1220,2316,3.0
1220,2805,1.0
1220,5828,1.0
1224,1023,59.25
1224,1025,64.0
1224,1026,69.0
1224,1030,68.25
1224,1031,132.5
1224,1033,118.75
1224,1064,59.25
1224,1122,16.0
1224,1123,24.0
1224,1128,10.0
1224,1144,3.75
1224,1151,116.5
1224,1152,63.0
1224,1153,38.0
1224,1155,14.0
1224,1201,1.0
1224,1214,4.333333333333333
1224,1216,3.5
1224,1220,42.5
1224,1224A,1.0
1224,1225,11.25
1224,1226,1.3333333333333333
1224,1266,47.5
1224,1268,4.0
1224,1269,5.0
1224,1312,4.0
1224,1321,35.5
1224,1322,76.5
1224,1323,93.5
1224,1327,16.25
1224,1340,1.0
1224,1350,1.6666666666666667
1224,1373,67.0
1224,1422,4.0
1224,1437,1.5
1224,1446,11.5
1224,1456,10.25
1224,1459,4.666666666666667
1224,1460,5.75
1224,1509,1.5
1224,1521,2.0
1224,1526,2.0
1224,1537,2.6666666666666665
1224,1538,9.5
1224,1543,4.5
1224,1557,2.0
1224,1624,2.5
1224,1633,1.0
1224,1638,1.0
1224,1643,1.0
1224,1644,1.0
1224,1645,1.0
1224,1715,7.333333333333333
1224,1715B,1.0
1224,1719,5.25
1224,1721,11.25
1224,1730,2.5
1224,1731,4.25
1224,1742,3.0
1224,1751,1.0
1224,1770,1.0
1224,1773,1.0
1224,1777,1.0
1224,1779,3.0
1224,1815B,2.0
1224,1823,4.666666666666667
1224,1828,3.0
1224,1833,3.0
1224,1847,1.0
1224,1853,3.0
1224,1855,2.0
1224,1858,1.0
1224,1859,1.0
1224,1868,9.0
1224,1869,2.0
1224,1911,13.25
1224,1927,3.5
1224,1933,1.3333333333333333
1224,1938,3.5
1224,1941,1.6666666666666667
1224,1945,13.25
1224,1946,2.0
1224,1947,1.0
1224,1948,1.0
1224,1951,4.0
