"codenservicio_mat","nombre_mat","fecha_inicio","cantidad"
"PE23","DISEÑO DE CIRCUITOS INTEGRADOS CMOS ANALOGICOS Y MIXTOS ANALOGICOS DIGITAL","2020-08-03","4"
"PE282","AMBIENTE, SOCIEDAD Y DESARROLLO","2020-08-03","27"
"PE385","COMUNICACIONES INALAMBRICAS","2020-08-03","3"
"PE445","CALIFICACION TECNICA PARA RESPONSABLES DE OBRAS EN HORMIGON","2020-08-03","4"
"PE48","PROPAGACION EN ENTORNOS URBANOS","2020-08-03","1"
"PE51","INTRODUCCION A LOS PLC`S","2020-08-03","5"
"PE57","TRATAMIENTO DE IMAGENES POR COMPUTADORA","2020-08-03","4"
"PG05","CAMBIO ORGANIZACIONAL","2020-08-03","13"
"PG10","TOPICOS DE ECONOMIA DE LA INNOVACION","2020-08-03","11"
"PG11","REINGENIERIA Y MEJORA CONTINUA","2020-08-03","8"
"PG13","PENSAMIENTO SISTEMICO","2020-08-03","6"
"PG19","GESTION DE LA INNOVACION EN LAS ORGANIZACIONES","2020-08-03","5"
"PG22","TALLER DE PENSAMIENTO SISTEMICO","2020-08-03","7"
"PT6","TALLER DE CAMBIO ORGANIZACIONAL","2020-08-03","10"
"Q100","TECNOLOGIA Y SERV. INDUSTRIALES 2","2020-08-03","66"
"Q28","FUND. DE LA PROD. DE CELULOSA Y PAPEL","2020-08-03","15"
"Q29","CONTROL DE LA CORROSION","2020-08-03","7"
"Q57","PROYECTO INDUSTRIAL 2","2020-08-03","91"
"Q59","INT. A LA ING. QUIMICA Y DE PROCESOS","2020-08-03","187"
"Q66","FLUIDODINAMICA","2020-08-03","186"
"Q70","INGENIERIA DE LAS REACCIONES QUIMICAS 2","2020-08-03","79"
"Q73","MECANICA APLICADA (ING.QUÍM)","2020-08-03","84"
"Q74","TRANSFERENCIA DE CALOR Y MASA 1","2020-08-03","153"
"Q82","PASANTIA-TRABAJO EXPERIM. MOD.1 BASICO","2020-08-03","15"
"Q83","PASANTIA-TRABAJO EXPERIM. MOD.2","2020-08-03","1"
"Q84","PASANTIA-TRABAJO EXPERIM. MOD.3","2020-08-03","1"
"Q88","ENERGIA APLICADA A LA INDUSTRIA","2020-08-03","14"
"2216","TUTORIAS ENTRE PARES 1","2020-08-04","5"
"PA585","CIENCIA, TECNOLOGIA, INNOVACION Y SOCIEDAD (CTI Y SOCIEDAD)","2020-08-04","13"
"PA588","DERECHO AMBIENTAL","2020-08-05","14"
"1643","MODULO DE INVESTIGACION","2020-08-10","8"
"1644","MODULO DE INVESTIGACION","2020-08-10","6"
"1023","MATEMATICA DISCRETA 1","2020-08-17","390"
"1025","PROBABILIDAD Y ESTADISTICA","2020-08-17","377"
"1026","MATEMATICA DISCRETA 2","2020-08-17","121"
"1030","GEOMETRIA Y ALGEBRA LINEAL 1","2020-08-17","956"
"1031","GEOMETRIA Y ALGEBRA LINEAL 2","2020-08-17","550"
"1033","METODOS NUMERICOS","2020-08-17","441"
"1061","CALCULO DIF. E INTEGRAL EN UNA VARIABLE","2020-08-17","753"
"1062","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","2020-08-17","964"
"1063","CALCULO VECTORIAL","2020-08-17","256"
"1064","INT. A LAS ECUACIONES DIFERENCIALES","2020-08-17","505"
"1123","FISICA TERMICA","2020-08-17","185"
"1128","ELECTROMAGNETISMO","2020-08-17","123"
"1144","VIBRACIONES Y ONDAS","2020-08-17","89"
"1151","FISICA 1","2020-08-17","748"
"1152","FISICA 2","2020-08-17","362"
"1153","FISICA 3","2020-08-17","307"
"1155","FISICA EXPERIMENTAL 2","2020-08-17","157"
"1214","INT. AL DISEÑO Y MONTAJE DE LAS IND.DE PROC.","2020-08-17","30"
"1216","TALLER ENCARARE: CREAR","2020-08-17","23"
"1220","TALLER DE DISEÑO, COM. Y REPRES. GRAFICA","2020-08-17","218"
"1224","ECONOMIA","2020-08-17","789"
"1225","POLITICAS CIENTIFICAS EN INF.Y COMP.","2020-08-17","67"
"1226","MECANICA DE LOS FLUIDOS","2020-08-17","31"
"1312","RESISTENCIA DE MATERIALES 2","2020-08-17","79"
